onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	22
32	8	1	n02841315_35046	1	17	0.0	22
40	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	22
48	8	1	n02391049_2286	1	10	0.0	22
56	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	22
64	8	2	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	67.73987803299678	22
72	8	1	n02974003_9408	1	22	0.0	22
80	8	2	n02974003_9408	1	22	83.56861764399946	22
88	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	22
96	8	1	n02374451_17284	1	9	0.0	22
104	8	1	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	0.0	22
112	8	1	n04297750_25624	1	36	0.0	22
120	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	0.0	22
128	8	1	n02802215_26105	1	16	0.0	22
136	8	2	n02802215_26105	1	16	142.90079600099853	22
144	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	22
152	8	1	n02766534_15976	1	13	0.0	22
160	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	22
168	8	1	origImg_181	1	38	0.0	22
176	8	1	abuttingLine003_linespace_1p2_angle_000_135diag	2	41	0.0	22
184	8	1	n02472293_34273	1	12	0.0	22
192	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	22
200	8	1	n03743279_13788	1	30	0.0	22
208	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	22
216	8	1	n03063599_4177	1	23	0.0	22
224	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	54	0.0	22
232	8	1	n02005790_9371	1	6	0.0	22
240	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	0.0	22
248	8	1	n02882647_18337	1	20	0.0	22
256	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	22
264	8	1	n02797295_15411	1	14	0.0	22
272	8	2	n02797295_15411	1	14	273.64015472499887	22
280	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	44	0.0	22
288	8	1	n04233124_14971	1	34	0.0	22
296	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	0.0	22
304	8	1	n03483823_8150	1	29	0.0	22
312	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	68	0.0	22
320	8	1	n01858441_11077	1	3	0.0	22
328	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	56	0.0	22
336	8	1	n03483823_7612	1	28	0.0	22
344	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	50	0.0	22
352	8	1	n04252077_10859	1	35	0.0	22
360	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	49	0.0	22
368	6	-2	n/a	n/a	n/a	0.0	22
